,Country,Date,pagePath,Number of Pages,Sessions,Users,Duration
1035,Germany,2023-04-26,/marktplatz?tab=2&organisationId=96,1,1,1,2
1037,Germany,2023-04-26,/marktplatz?tab=2&search=ORCA%20Software%20GmbH&organisationId=41,1,1,1,6
147,Germany,2023-04-26,/marktplatz?tab=0&ptgId=66,3,2,1,28
148,Germany,2023-04-26,/resetPassword,3,2,2,74
1038,Germany,2023-04-26,/organisations/41/information?tab=0,1,1,1,13
1039,Germany,2023-04-26,/organisations/41/information?tab=0&search=ORCA%20AVA&productId=195,1,1,1,2
1040,Germany,2023-04-26,/organisations/41/information?tab=0&search=ORCA%20AVA&ptgId=45,1,1,1,7
1041,Germany,2023-04-26,/organisations/41/information?tab=0&search=ORCA%20AVA&ptgId=45&ptgId=57,1,1,1,1
1042,Germany,2023-04-26,/registry/confirm%3Fcode=b2ef2eae-b83e-4438-b2d4-e536d3515111,1,1,1,3
1043,Germany,2023-04-26,/registry/confirm%3Fcode=b2ef2eae-b83e-4438-b2d4-e536d3515111?code=b2ef2eae-b83e-4438-b2d4-e536d3515111,1,1,1,0
1002,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=ORCA%20AVA,1,1,1,1
1001,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=Ministerium%20f%C3%BCr%20heimat,1,1,1,8
1000,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=MHKBD,1,1,1,9
999,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=Digitalisierung%20im%20Bauwesen,1,1,1,4
998,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&productId=323,1,1,1,4
997,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&productId=3,1,1,1,20
996,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&attr=113,1,1,1,1
995,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&attr=111&attr=113,1,1,1,10
994,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&attr=111&attr=112&attr=113,1,1,1,1
993,Germany,2023-04-26,/marktplatz%3Ftab=0&attr=86?tab=0&attr=86&productId=280,1,2,1,4
992,Germany,2023-04-26,/marktplatz%3Ftab=0&attr=118?tab=0,1,1,1,2
991,Germany,2023-04-26,/marktplatz%3Ftab=0&appSubPro=53&productId=53?tab=0&search=NEVARIS%20Build&productId=53,1,1,1,8
990,Germany,2023-04-26,/marktplatz%3Ftab=0&appSubPro=53&productId=53?tab=0&appSubPro=53&productId=53,1,1,1,1
989,Germany,2023-04-26,/login%3Fcode=scV-eO?code=scV-eO,1,1,1,0
988,Germany,2023-04-26,/login%3Fcode=DcJjjx?tab=2&search=SierraSoft&organisationId=221,1,1,1,8
72,Germany,2023-04-26,/profil/nutzerverwaltung,6,1,1,55
71,Germany,2023-04-26,/organisations/41/information,6,1,1,9
70,Germany,2023-04-26,/login%3Fcode=DcJjjx,6,1,1,79
987,Germany,2023-04-26,/login%3Fcode=DcJjjx?tab=2&search=SierraSoft,1,1,1,1
1003,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=SierraSoft%20Roads%20%2F%20Hydro%20%2F%20Land%20%2F%20Rails,1,1,1,1
985,Germany,2023-04-26,/login%3Fcode=DcJjjx?tab=2,1,1,1,21
146,Germany,2023-04-26,/marktplatz%3Ftab=0&attr=118?tab=0&attr=118,3,1,1,25
1036,Germany,2023-04-26,/marktplatz?tab=2&search=ORCA%20Software%20GmbH,1,1,1,1
983,Germany,2023-04-26,/login%3Fcode=DcJjjx?tab=0&orgId=221&search=SierraSoft,1,1,1,1
1034,Germany,2023-04-26,/marktplatz?tab=2&orgId=96&organisationId=96,1,1,1,20
1005,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=ausbildungsinhalte,1,1,1,10
1006,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=forschungsinhalte,1,1,1,7
1007,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=qualifizierungsleitfade&productId=264,1,1,1,2
1008,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=qualifizierungsleitfaden,1,1,1,1
1009,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=qualifizierungsleitfaden&productId=264,1,1,1,22
1010,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=0&search=qualifizierungsleitfaden&productId=264&orgId=234,1,1,1,18
1011,Germany,2023-04-26,/marktplatz%3Ftab=0?tab=2&search=SierraSoft%20Roads%20%2F%20Hydro%20%2F%20Land%20%2F%20Rails&orgId=221&organisationId=221,1,1,1,19
1012,Germany,2023-04-26,/marktplatz?tab=0&appSubPro=53&productId=53,1,1,1,2
1013,Germany,2023-04-26,/marktplatz?tab=0&orgId=41&ptgId=45,1,1,1,2
