,Source,Referal,Medium,Date,Sessions
1058,bimswarm.de,referral,desktop,2023-10-31,1
627,(direct),(none),desktop,2023-10-31,2
820,planen-bauen40.de,referral,desktop,2023-10-31,2
1131,bing,organic,desktop,2023-10-31,1
325,(not set),(not set),desktop,2023-10-31,5
0,(direct),(none),desktop,2023-10-30,34
190,bimswarm.de,referral,desktop,2023-10-30,8
1258,google,organic,desktop,2023-10-30,1
752,bing,organic,desktop,2023-10-30,2
504,(direct),(none),desktop,2023-10-29,3
872,(direct),(none),desktop,2023-10-28,1
1057,bimswarm.de,referral,desktop,2023-10-28,1
38,(direct),(none),desktop,2023-10-27,15
1166,digital-bau.com,referral,desktop,2023-10-27,1
1056,bimswarm.de,referral,desktop,2023-10-27,1
751,bing,organic,desktop,2023-10-27,2
1353,statics.teams.cdn.office.net,referral,desktop,2023-10-27,1
1130,bing,organic,desktop,2023-10-26,1
825,statics.teams.cdn.office.net,referral,desktop,2023-10-26,2
444,bimswarm.de,referral,desktop,2023-10-26,4
29,(direct),(none),desktop,2023-10-26,16
551,bimswarm.de,referral,desktop,2023-10-25,3
750,bing,organic,desktop,2023-10-25,2
43,(direct),(none),desktop,2023-10-25,14
979,(not set),(not set),desktop,2023-10-25,1
655,(direct),(none),mobile,2023-10-24,2
37,(direct),(none),desktop,2023-10-24,15
448,bing,organic,desktop,2023-10-24,4
4,(direct),(none),desktop,2023-10-23,20
574,google,organic,desktop,2023-10-23,3
978,(not set),(not set),desktop,2023-10-23,1
358,bimswarm.de,referral,desktop,2023-10-23,5
292,bing,organic,desktop,2023-10-23,6
320,(direct),(none),desktop,2023-10-22,5
662,(not set),(not set),desktop,2023-10-22,2
319,(direct),(none),desktop,2023-10-21,5
1055,bimswarm.de,referral,desktop,2023-10-20,1
749,bing,organic,desktop,2023-10-20,2
265,(direct),(none),desktop,2023-10-20,6
791,google,organic,desktop,2023-10-20,2
357,bimswarm.de,referral,desktop,2023-10-19,5
318,(direct),(none),desktop,2023-10-19,5
1129,bing,organic,desktop,2023-10-19,1
1352,statics.teams.cdn.office.net,referral,desktop,2023-10-18,1
174,(direct),(none),desktop,2023-10-18,8
748,bing,organic,desktop,2023-10-18,2
189,bimswarm.de,referral,desktop,2023-10-18,8
747,bing,organic,desktop,2023-10-17,2
824,statics.teams.cdn.office.net,referral,desktop,2023-10-17,2
22,(direct),(none),desktop,2023-10-17,17
550,bimswarm.de,referral,desktop,2023-10-17,3
1257,google,organic,desktop,2023-10-16,1
1351,statics.teams.cdn.office.net,referral,desktop,2023-10-16,1
1128,bing,organic,desktop,2023-10-16,1
443,bimswarm.de,referral,desktop,2023-10-16,4
401,(direct),(none),desktop,2023-10-16,4
940,(direct),(none),mobile,2023-10-15,1
871,(direct),(none),desktop,2023-10-14,1
1256,google,organic,desktop,2023-10-14,1
823,statics.teams.cdn.office.net,referral,desktop,2023-10-13,2
442,bimswarm.de,referral,desktop,2023-10-13,4
573,google,organic,desktop,2023-10-13,3
216,(direct),(none),desktop,2023-10-13,7
1101,bimswarm.de,referral,mobile,2023-10-13,1
1165,digital-bau.com,referral,desktop,2023-10-13,1
143,(direct),(none),desktop,2023-10-12,9
572,google,organic,desktop,2023-10-12,3
1100,bimswarm.de,referral,mobile,2023-10-12,1
441,bimswarm.de,referral,desktop,2023-10-12,4
191,statics.teams.cdn.office.net,referral,desktop,2023-10-12,8
155,bimswarm.de,referral,desktop,2023-10-11,9
977,(not set),(not set),desktop,2023-10-11,1
1255,google,organic,desktop,2023-10-11,1
42,(direct),(none),desktop,2023-10-11,14
1113,bimtagedeutschland.de,referral,mobile,2023-10-11,1
1099,bimswarm.de,referral,mobile,2023-10-11,1
654,(direct),(none),mobile,2023-10-10,2
28,(direct),(none),desktop,2023-10-10,16
556,bing,organic,desktop,2023-10-10,3
1254,google,organic,desktop,2023-10-10,1
236,bimswarm.de,referral,desktop,2023-10-10,7
1054,bimswarm.de,referral,desktop,2023-10-09,1
142,(direct),(none),desktop,2023-10-09,9
790,google,organic,desktop,2023-10-09,2
1053,bimswarm.de,referral,desktop,2023-10-08,1
870,(direct),(none),desktop,2023-10-07,1
939,(direct),(none),mobile,2023-10-07,1
746,bing,organic,desktop,2023-10-06,2
264,(direct),(none),desktop,2023-10-06,6
1253,google,organic,desktop,2023-10-06,1
1052,bimswarm.de,referral,desktop,2023-10-06,1
653,(direct),(none),mobile,2023-10-06,2
555,bing,organic,desktop,2023-10-05,3
652,(direct),(none),mobile,2023-10-05,2
440,bimswarm.de,referral,desktop,2023-10-05,4
1301,linkedin.com,referral,desktop,2023-10-05,1
27,(direct),(none),desktop,2023-10-05,16
745,bing,organic,desktop,2023-10-04,2
317,(direct),(none),desktop,2023-10-04,5
1342,planen-bauen40.de,referral,desktop,2023-10-03,1
626,(direct),(none),desktop,2023-10-03,2
976,(not set),(not set),desktop,2023-10-02,1
744,bing,organic,desktop,2023-10-02,2
571,google,organic,desktop,2023-10-02,3
141,(direct),(none),desktop,2023-10-02,9
503,(direct),(none),desktop,2023-10-01,3
625,(direct),(none),desktop,2023-09-30,2
718,bimswarm.de,referral,desktop,2023-09-29,2
1252,google,organic,desktop,2023-09-29,1
938,(direct),(none),mobile,2023-09-29,1
822,statics.teams.cdn.office.net,referral,desktop,2023-09-29,2
63,(direct),(none),desktop,2023-09-29,12
743,bing,organic,desktop,2023-09-28,2
1051,bimswarm.de,referral,desktop,2023-09-28,1
1098,bimswarm.de,referral,mobile,2023-09-28,1
570,google,organic,desktop,2023-09-28,3
102,(direct),(none),desktop,2023-09-28,10
14,(direct),(none),desktop,2023-09-27,18
188,bimswarm.de,referral,desktop,2023-09-27,8
789,google,organic,desktop,2023-09-27,2
937,(direct),(none),mobile,2023-09-27,1
101,(direct),(none),desktop,2023-09-26,10
788,google,organic,desktop,2023-09-26,2
356,bimswarm.de,referral,desktop,2023-09-26,5
120,bimswarm.de,referral,desktop,2023-09-25,10
569,google,organic,desktop,2023-09-25,3
732,bimswarm.de,referral,mobile,2023-09-25,2
79,(direct),(none),desktop,2023-09-25,11
1050,bimswarm.de,referral,desktop,2023-09-24,1
446,bimswarm.de,referral,mobile,2023-09-24,4
624,(direct),(none),desktop,2023-09-24,2
1049,bimswarm.de,referral,desktop,2023-09-23,1
623,(direct),(none),desktop,2023-09-23,2
717,bimswarm.de,referral,desktop,2023-09-22,2
140,(direct),(none),desktop,2023-09-22,9
651,(direct),(none),mobile,2023-09-22,2
508,(direct),(none),mobile,2023-09-21,3
100,(direct),(none),desktop,2023-09-21,10
509,(direct),(none),tablet,2023-09-21,3
1341,planen-bauen40.de,referral,desktop,2023-09-21,1
235,bimswarm.de,referral,desktop,2023-09-21,7
1097,bimswarm.de,referral,mobile,2023-09-21,1
290,bimswarm.de,referral,desktop,2023-09-20,6
36,(direct),(none),desktop,2023-09-20,15
549,bimswarm.de,referral,desktop,2023-09-19,3
502,(direct),(none),desktop,2023-09-19,3
234,bimswarm.de,referral,desktop,2023-09-18,7
173,(direct),(none),desktop,2023-09-18,8
787,google,organic,desktop,2023-09-18,2
1350,statics.teams.cdn.office.net,referral,desktop,2023-09-18,1
869,(direct),(none),desktop,2023-09-17,1
1048,bimswarm.de,referral,desktop,2023-09-17,1
936,(direct),(none),mobile,2023-09-16,1
439,bimswarm.de,referral,desktop,2023-09-15,4
1251,google,organic,desktop,2023-09-15,1
501,(direct),(none),desktop,2023-09-15,3
548,bimswarm.de,referral,desktop,2023-09-14,3
1279,ingenieurbau-online.de,referral,desktop,2023-09-14,1
99,(direct),(none),desktop,2023-09-14,10
786,google,organic,desktop,2023-09-13,2
1096,bimswarm.de,referral,mobile,2023-09-13,1
233,bimswarm.de,referral,desktop,2023-09-13,7
1278,ingenieurbau-online.de,referral,desktop,2023-09-13,1
215,(direct),(none),desktop,2023-09-13,7
214,(direct),(none),desktop,2023-09-12,7
289,bimswarm.de,referral,desktop,2023-09-12,6
1250,google,organic,desktop,2023-09-12,1
1277,ingenieurbau-online.de,referral,desktop,2023-09-11,1
935,(direct),(none),mobile,2023-09-11,1
568,google,organic,desktop,2023-09-11,3
119,bimswarm.de,referral,desktop,2023-09-11,10
213,(direct),(none),desktop,2023-09-11,7
934,(direct),(none),mobile,2023-09-10,1
1047,bimswarm.de,referral,desktop,2023-09-10,1
868,(direct),(none),desktop,2023-09-09,1
400,(direct),(none),desktop,2023-09-08,4
716,bimswarm.de,referral,desktop,2023-09-08,2
802,linkedin.com,referral,desktop,2023-09-08,2
172,(direct),(none),desktop,2023-09-07,8
793,ingenieurbau-online.de,referral,desktop,2023-09-07,2
288,bimswarm.de,referral,desktop,2023-09-07,6
212,(direct),(none),desktop,2023-09-06,7
287,bimswarm.de,referral,desktop,2023-09-06,6
1164,digital-bau.com,referral,desktop,2023-09-06,1
1276,ingenieurbau-online.de,referral,desktop,2023-09-06,1
118,bimswarm.de,referral,desktop,2023-09-05,10
1249,google,organic,desktop,2023-09-05,1
731,bimswarm.de,referral,mobile,2023-09-05,2
21,(direct),(none),desktop,2023-09-05,17
62,(direct),(none),desktop,2023-09-04,12
187,bimswarm.de,referral,desktop,2023-09-04,8
1194,facebook.com,referral,desktop,2023-09-03,1
399,(direct),(none),desktop,2023-09-03,4
715,bimswarm.de,referral,desktop,2023-09-03,2
658,(direct),(none),tablet,2023-09-03,2
1248,google,organic,desktop,2023-09-01,1
547,bimswarm.de,referral,desktop,2023-09-01,3
139,(direct),(none),desktop,2023-09-01,9
792,google,organic,mobile,2023-09-01,2
867,(direct),(none),desktop,2023-08-31,1
452,google,organic,mobile,2023-08-31,4
933,(direct),(none),mobile,2023-08-31,1
546,bimswarm.de,referral,desktop,2023-08-31,3
1095,bimswarm.de,referral,mobile,2023-08-30,1
545,bimswarm.de,referral,desktop,2023-08-30,3
1163,digital-bau.com,referral,desktop,2023-08-30,1
932,(direct),(none),mobile,2023-08-30,1
316,(direct),(none),desktop,2023-08-30,5
575,google,organic,mobile,2023-08-30,3
355,bimswarm.de,referral,desktop,2023-08-29,5
35,(direct),(none),desktop,2023-08-29,15
1349,statics.teams.cdn.office.net,referral,desktop,2023-08-29,1
1094,bimswarm.de,referral,mobile,2023-08-28,1
1247,google,organic,desktop,2023-08-28,1
34,(direct),(none),desktop,2023-08-28,15
354,bimswarm.de,referral,desktop,2023-08-28,5
714,bimswarm.de,referral,desktop,2023-08-27,2
866,(direct),(none),desktop,2023-08-27,1
950,(direct),(none),tablet,2023-08-26,1
1046,bimswarm.de,referral,desktop,2023-08-26,1
