,Land,Date,pagePath,Number of Pages,Sessions,Users,Duration,ProductID,Product,Supplier,OrgId
0,Germany,2023-10-24,/marktplatz?tab=0&productId=293,2,1,1,5,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
1,Germany,2023-03-21,/marktplatz?tab=0&category=CONTENT&productId=293,1,1,1,2,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
2,Germany,2023-02-23,/marktplatz%3Ftab=0&category=CONTENT&productId=290?tab=0&category=CONTENT&productId=293,1,1,1,6,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
3,Germany,2023-02-23,/marktplatz?tab=0&category=CONTENT&productId=293,1,1,1,32,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
4,Germany,2022-12-15,/marktplatz%3Ftab=0&productId=204?tab=0&productId=293,1,1,1,22,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
5,Germany,2022-11-29,/marktplatz%3Ftab=0?tab=0&category=CONTENT&productId=293,2,1,1,14,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
6,Germany,2022-11-28,/marktplatz?tab=0&orgId=247&productId=293,2,1,1,3,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
7,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&productId=293?tab=0&orgId=247&productId=293,3,1,1,14,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
8,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&productId=293?tab=0&orgId=247&appSubPro=293&productId=293,2,1,1,31,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
9,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&appSubPro=293&productId=293?tab=0&orgId=247,1,1,1,11,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
10,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&appSubPro=293&productId=293?tab=0&orgId=247&appSubPro=293&productId=293,1,1,1,7,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
11,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&appSubPro=293&productId=293?tab=0&orgId=247&productId=290,1,1,1,10,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
12,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&productId=292?tab=0&orgId=247&productId=293,1,1,1,64,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
13,Germany,2022-11-25,/marktplatz%3Ftab=0&orgId=247&productId=293?tab=0&orgId=247,1,1,1,7,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
14,Germany,2022-11-25,/marktplatz?tab=0&orgId=247&appSubPro=293&productId=293,0,1,1,0,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
15,Germany,2022-11-25,/marktplatz?tab=0&orgId=247&productId=293,0,1,1,0,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
16,Germany,2023-10-24,/marktplatz?tab=0&productId=288,2,1,1,8,288,Aspekte der Projektkoordinaton,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
